Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,OCHIGH
2017-01-03 00:00:00+08:00,150.28651190585776,151.94256162382865,149.87249947636505,151.52854919433594,22630000,0.0,0.0,
2017-01-04 00:00:00+08:00,151.52854919433594,152.35657405332137,150.28651190585776,151.52854919433594,24369000,0.0,0.0,
2017-01-05 00:00:00+08:00,150.70052859438863,151.94256591796875,150.28651615319527,151.94256591796875,20979000,0.0,0.0,
2017-01-06 00:00:00+08:00,152.35658264160156,152.770595094432,151.94257018877113,152.35658264160156,22443000,0.0,0.0,
2017-01-09 00:00:00+08:00,152.35658264160156,153.18460754726243,151.5285577359407,152.35658264160156,18569000,0.0,0.0,
2017-01-10 00:00:00+08:00,152.770595094432,153.5986200000929,151.94257018877113,152.35658264160156,20198000,0.0,0.0,-1.656058376264241
2017-01-11 00:00:00+08:00,153.1846367133843,153.1846367133843,150.2865489917797,150.7005615234375,29107000,0.0,0.0,-0.8280626600629262
2017-01-12 00:00:00+08:00,151.1145344142345,153.5986089525507,151.1145344142345,152.7705841064453,41130000,0.0,0.0,-1.6560430345819555
2017-01-13 00:00:00+08:00,149.45850458486677,151.11455449716448,149.45850458486677,150.28652954101562,52352000,0.0,0.0,1.6560405972675198
2017-01-16 00:00:00+08:00,149.04449037854718,149.45850285182092,148.2164654319997,148.63047790527344,30756000,0.0,0.0,3.7261046954415065
2017-01-17 00:00:00+08:00,149.45850035103646,149.8725128173828,148.63047541834374,149.8725128173828,13159000,0.0,0.0,3.7261071827100807
2017-01-18 00:00:00+08:00,149.45850035103646,149.8725128173828,148.63047541834374,149.8725128173828,23693000,0.0,0.0,3.3121238960014807
2017-01-19 00:00:00+08:00,148.63045601039053,149.87249324724615,148.63045601039053,149.45848083496094,24627000,0.0,0.0,3.726115705304551
2017-01-20 00:00:00+08:00,149.8725128173828,150.28652528372916,149.45850035103646,149.8725128173828,23429000,0.0,0.0,0.8280292134353147
2017-01-23 00:00:00+08:00,151.11452360410948,153.18458557128906,151.11452360410948,153.18458557128906,36992000,0.0,0.0,-3.7260827194681383
2017-01-24 00:00:00+08:00,153.1846051074745,154.42664244618376,152.7705926612381,153.59861755371094,55022000,0.0,0.0,-4.5541296288009505
