,證券代號,證券名稱,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數
312,9946,三發地產        ,"50,000","39,000","11,000",0,0,0,0,0,0,"-3,000","1,000","4,000","-3,000",0,0,0,"8,000"
313,00783,富邦中証500     ,0,0,0,0,0,0,0,0,0,"7,670",0,0,0,"234,000","226,330","7,670","7,670"
314,00657,國泰日經225     ,0,0,0,0,0,0,0,0,0,"7,281",0,0,0,"110,281","103,000","7,281","7,281"
315,1443,立益物流        ,"7,000","4,000","3,000",0,0,0,0,0,0,"4,000","4,000",0,"4,000",0,0,0,"7,000"
316,3669,圓展            ,"9,000","2,000","7,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"7,000"
317,1558,伸興            ,"6,000","10,000","-4,000",0,0,0,0,0,0,"11,000","11,000",0,"11,000","2,000","2,000",0,"7,000"
318,2015,豐興            ,"2,000","90,000","-88,000",0,0,0,"95,000",0,"95,000",-59,"1,000","1,059",-59,0,0,0,"6,941"
319,4439,冠星-KY         ,"11,000","5,000","6,000",0,0,0,0,0,0,355,355,0,355,0,0,0,"6,355"
320,1817,凱撒衛          ,0,"7,000","-7,000",0,0,0,0,0,0,"13,000","13,000",0,"13,000",0,0,0,"6,000"
321,2024,志聯            ,"6,000",0,"6,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"6,000"
322,2316,楠梓電          ,"20,000","12,000","8,000",0,0,0,0,0,0,"-2,000",0,"2,000","-2,000",0,0,0,"6,000"
323,020018,統一價值成長30N ,0,0,0,0,0,0,0,0,0,"6,000",0,0,0,"6,000",0,"6,000","6,000"
324,00681R,元大美債20反1   ,0,0,0,0,0,0,0,0,0,"6,000",0,0,0,"6,000",0,"6,000","6,000"
325,9912,偉聯            ,"6,000",0,"6,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"6,000"
326,8114,振樺電          ,"21,000","15,000","6,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"6,000"
327,5215,科嘉-KY         ,"10,000","4,000","6,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"6,000"
328,6552,易華電          ,"6,000","1,000","5,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"5,000"
329,020000,富邦特選蘋果N   ,0,0,0,0,0,0,0,0,0,"5,000",0,0,0,"5,000",0,"5,000","5,000"
330,1468,昶和            ,0,"1,000","-1,000",0,0,0,0,0,0,"6,000","7,000","1,000","6,000",0,0,0,"5,000"
331,4555,氣立            ,"10,000","5,000","5,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"5,000"
332,3021,鴻名            ,"7,000","3,000","4,000",0,0,0,0,0,0,"1,000","1,000",0,"1,000",0,0,0,"5,000"
333,2524,京城            ,"5,000","8,000","-3,000",0,0,0,0,0,0,"8,000","8,000",0,"8,000",0,0,0,"5,000"
334,2464,盟立            ,"24,000","19,000","5,000",0,0,0,0,0,0,-529,0,529,-529,0,0,0,"4,471"
335,2430,燦坤            ,"77,084","73,000","4,084",0,0,0,0,0,0,0,0,0,0,0,0,0,"4,084"
336,8131,福懋科          ,"35,027","28,000","7,027",0,0,0,0,"3,000","-3,000",0,0,0,0,"14,000","14,000",0,"4,027"
337,6863,永道-KY         ,"8,000","6,000","2,000",0,0,0,0,0,0,"2,000","2,000",0,"2,000",0,0,0,"4,000"
338,8411,福貞-KY         ,"6,000","2,000","4,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"4,000"
339,00735,國泰臺韓科技    ,"48,000",0,"48,000",0,0,0,0,0,0,"-44,000",0,0,0,"104,000","148,000","-44,000","4,000"
340,2424,隴華            ,"9,000","5,000","4,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"4,000"
341,3543,州巧            ,"10,000","7,000","3,000",0,0,0,0,0,0,"1,000","3,000","2,000","1,000",0,0,0,"4,000"
342,3530,晶相光          ,"10,000","6,000","4,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"4,000"
343,3450,聯鈞            ,"25,000","21,000","4,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"4,000"
344,2414,精技            ,"6,000","2,000","4,000",0,0,0,0,0,0,-1,"1,000","1,001",-1,0,0,0,"3,999"
345,1321,大洋            ,"6,000","5,000","1,000",0,0,0,0,0,0,"2,000","2,000",0,"2,000",0,0,0,"3,000"
346,3607,谷崧            ,"81,000","78,000","3,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"3,000"
347,2466,冠西電          ,"7,000","4,000","3,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"3,000"
348,2816,旺旺保          ,"12,000","11,000","1,000",0,0,0,0,0,0,"2,000","2,000",0,"2,000","17,000","17,000",0,"3,000"
349,8033,雷虎            ,"1,000","68,000","-67,000",0,0,0,0,0,0,"70,000",0,0,0,"75,000","5,000","70,000","3,000"
350,6201,亞弘電          ,"3,000",0,"3,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"3,000"
351,6768,志強-KY         ,"25,000","12,000","13,000",0,0,0,0,0,0,"-10,800","2,000",0,"2,000",0,"12,800","-12,800","2,200"
352,6671,三能-KY         ,"2,000",0,"2,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"2,000"
353,6854,錼創科技-KY創   ,"1,000",0,"1,000",0,0,0,0,0,0,"1,000","1,000",0,"1,000",0,0,0,"2,000"
354,9906,欣巴巴          ,"9,000","6,000","3,000",0,0,0,0,0,0,"-1,000",0,"1,000","-1,000",0,0,0,"2,000"
355,006203,元大MSCI台灣    ,0,0,0,0,0,0,0,0,0,"2,000",0,0,0,"3,000","1,000","2,000","2,000"
356,006204,永豐臺灣加權    ,0,0,0,0,0,0,0,0,0,"2,000",0,0,0,"22,000","20,000","2,000","2,000"
357,4994,傳奇            ,"23,000","21,000","2,000",0,0,0,0,0,0,0,"1,000","1,000",0,0,0,0,"2,000"
358,4576,大銀微系統      ,"4,000","2,000","2,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"2,000"
359,020019,統一特選台灣5GN ,0,0,0,0,0,0,0,0,0,"2,000",0,0,0,"2,000",0,"2,000","2,000"
360,00663L,國泰臺灣加權正2 ,0,0,0,0,0,0,0,0,0,"2,000",0,0,0,"4,000","2,000","2,000","2,000"
361,3019,亞光            ,"100,000","94,000","6,000",0,0,0,0,0,0,"-4,000",0,"2,000","-2,000",0,"2,000","-2,000","2,000"
362,1436,華友聯          ,"3,000","1,000","2,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"2,000"
363,1452,宏益            ,"4,000","2,000","2,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"2,000"
364,6756,威鋒電子        ,"53,000","60,000","-7,000",0,0,0,0,0,0,"8,291","1,291",0,"1,291","8,000","1,000","7,000","1,291"
365,2348,海悅            ,"14,017","13,000","1,017",0,0,0,0,0,0,0,0,0,0,0,0,0,"1,017"
366,2241,艾姆勒          ,"4,000","3,000","1,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"1,000"
367,2012,春雨            ,"2,000","3,000","-1,000",0,0,0,0,0,0,"2,000","2,000",0,"2,000",0,0,0,"1,000"
368,3311,閎暉            ,0,0,0,0,0,0,0,0,0,"1,000","1,000",0,"1,000",0,0,0,"1,000"
369,6792,詠業            ,"1,000",0,"1,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"1,000"
