,title,url,date
15,台積電傳就德勒斯登建廠事宜持續與德國進行磋商，最快8月做出決定,https://tw.stock.yahoo.com/news/%E5%8F%B0%E7%A9%8D%E9%9B%BB%E5%82%B3%E5%B0%B1%E5%BE%B7%E5%8B%92%E6%96%AF%E7%99%BB%E5%BB%BA%E5%BB%A0%E4%BA%8B%E5%AE%9C%E6%8C%81%E7%BA%8C%E8%88%87%E5%BE%B7%E5%9C%8B%E9%80%B2%E8%A1%8C%E7%A3%8B%E5%95%86-%E6%9C%80%E5%BF%AB8%E6%9C%88%E5%81%9A%E5%87%BA%E6%B1%BA%E5%AE%9A-002511819.html,2023-05-24
16,《各報要聞》去庫存不如預期 高盛降台積電目標價,https://tw.stock.yahoo.com/news/%E5%90%84%E5%A0%B1%E8%A6%81%E8%81%9E-%E5%8E%BB%E5%BA%AB%E5%AD%98%E4%B8%8D%E5%A6%82%E9%A0%90%E6%9C%9F-%E9%AB%98%E7%9B%9B%E9%99%8D%E5%8F%B0%E7%A9%8D%E9%9B%BB%E7%9B%AE%E6%A8%99%E5%83%B9-233522493.html,2023-05-23
17,台積電ADR23日下跌1.28美元跌幅1.40%折台股556.17元,https://tw.stock.yahoo.com/news/%E5%8F%B0%E7%A9%8D%E9%9B%BBadr23%E6%97%A5%E4%B8%8B%E8%B7%8C1-28%E7%BE%8E%E5%85%83%E8%B7%8C%E5%B9%851-40-%E6%8A%98%E5%8F%B0%E8%82%A1556-17%E5%85%83-221626854.html,2023-05-23
18,去庫存不如預期 高盛降台積電目標價,https://tw.stock.yahoo.com/news/%E5%8E%BB%E5%BA%AB%E5%AD%98%E4%B8%8D%E5%A6%82%E9%A0%90%E6%9C%9F-%E9%AB%98%E7%9B%9B%E9%99%8D%E5%8F%B0%E7%A9%8D%E9%9B%BB%E7%9B%AE%E6%A8%99%E5%83%B9-201000929.html,2023-05-23
19,應材投資建立研發中心 台積電、英特爾等夥伴力挺,https://tw.stock.yahoo.com/news/%E6%87%89%E6%9D%90%E6%8A%95%E8%B3%87%E5%BB%BA%E7%AB%8B%E7%A0%94%E7%99%BC%E4%B8%AD%E5%BF%83-%E5%8F%B0%E7%A9%8D%E9%9B%BB-%E8%8B%B1%E7%89%B9%E7%88%BE%E7%AD%89%E5%A4%A5%E4%BC%B4%E5%8A%9B%E6%8C%BA-095412887.html,2023-05-23
20,台積電籌資擴建廠房設備 發行200億元公司債,https://tw.stock.yahoo.com/news/%E5%8F%B0%E7%A9%8D%E9%9B%BB%E7%B1%8C%E8%B3%87%E6%93%B4%E5%BB%BA%E5%BB%A0%E6%88%BF%E8%A8%AD%E5%82%99-%E7%99%BC%E8%A1%8C200%E5%84%84%E5%85%83%E5%85%AC%E5%8F%B8%E5%82%B5-095315922.html,2023-05-23
21,《半導體》台積電112年第3期無擔保公司債發行條件出爐,https://tw.stock.yahoo.com/news/%E5%8D%8A%E5%B0%8E%E9%AB%94-%E5%8F%B0%E7%A9%8D%E9%9B%BB112%E5%B9%B4%E7%AC%AC3%E6%9C%9F%E7%84%A1%E6%93%94%E4%BF%9D%E5%85%AC%E5%8F%B8%E5%82%B5%E7%99%BC%E8%A1%8C%E6%A2%9D%E4%BB%B6%E5%87%BA%E7%88%90-085249529.html,2023-05-23
22,【公告】台積電112年度第3期無擔保普通公司債主要發行條件,https://tw.stock.yahoo.com/news/%E5%85%AC%E5%91%8A-%E5%8F%B0%E7%A9%8D%E9%9B%BB112%E5%B9%B4%E5%BA%A6%E7%AC%AC3%E6%9C%9F%E7%84%A1%E6%93%94%E4%BF%9D%E6%99%AE%E9%80%9A%E5%85%AC%E5%8F%B8%E5%82%B5%E4%B8%BB%E8%A6%81%E7%99%BC%E8%A1%8C%E6%A2%9D%E4%BB%B6-084515862.html,2023-05-23
23,應材計畫斥資40億美元矽谷設半導體創新研發平台 台積電、超微、輝達按讚,https://tw.stock.yahoo.com/news/%E6%87%89%E6%9D%90%E8%A8%88%E7%95%AB%E6%96%A5%E8%B3%8740%E5%84%84%E7%BE%8E%E5%85%83%E7%9F%BD%E8%B0%B7%E8%A8%AD%E5%8D%8A%E5%B0%8E%E9%AB%94%E5%89%B5%E6%96%B0%E7%A0%94%E7%99%BC%E5%B9%B3%E5%8F%B0-%E5%8F%B0%E7%A9%8D%E9%9B%BB%E3%80%81%E8%B6%85%E5%BE%AE%E3%80%81%E8%BC%9D%E9%81%94%E6%8C%89%E8%AE%9A-052624578.html,2023-05-23
24,《財政》是你嗎？發票千萬大獎2張未領 超商消費90元中千萬,https://tw.stock.yahoo.com/news/%E8%B2%A1%E6%94%BF-%E6%98%AF%E4%BD%A0%E5%97%8E-%E7%99%BC%E7%A5%A8%E5%8D%83%E8%90%AC%E5%A4%A7%E7%8D%8E2%E5%BC%B5%E6%9C%AA%E9%A0%98-%E8%B6%85%E5%95%86%E6%B6%88%E8%B2%BB90%E5%85%83%E4%B8%AD%E5%8D%83%E8%90%AC-031114974.html,2023-05-23
25,日本Rapidus目標25年4月試產2nm晶片,https://tw.stock.yahoo.com/news/%E6%97%A5%E6%9C%ACrapidus%E7%9B%AE%E6%A8%9925%E5%B9%B44%E6%9C%88%E8%A9%A6%E7%94%A22nm%E6%99%B6%E7%89%87-020000190.html,2023-05-23
26,《半導體》Meta自研AI晶片 晶心科沾光,https://tw.stock.yahoo.com/news/%E5%8D%8A%E5%B0%8E%E9%AB%94-meta%E8%87%AA%E7%A0%94ai%E6%99%B6%E7%89%87-%E6%99%B6%E5%BF%83%E7%A7%91%E6%B2%BE%E5%85%89-235256142.html,2023-05-22
27,台積電市值再度超車騰訊、居亞洲之冠,https://tw.stock.yahoo.com/news/%E5%8F%B0%E7%A9%8D%E9%9B%BB%E5%B8%82%E5%80%BC%E5%86%8D%E5%BA%A6%E8%B6%85%E8%BB%8A%E9%A8%B0%E8%A8%8A-%E5%B1%85%E4%BA%9E%E6%B4%B2%E4%B9%8B%E5%86%A0-221700204.html,2023-05-22
28,台積電ADR22日下跌0.86美元跌幅0.93%折台股562.74元,https://tw.stock.yahoo.com/news/%E5%8F%B0%E7%A9%8D%E9%9B%BBadr22%E6%97%A5%E4%B8%8B%E8%B7%8C0-86%E7%BE%8E%E5%85%83%E8%B7%8C%E5%B9%850-93-%E6%8A%98%E5%8F%B0%E8%82%A1562-74%E5%85%83-220105144.html,2023-05-22
29,國外投資金額增逾2倍,https://tw.stock.yahoo.com/news/%E5%9C%8B%E5%A4%96%E6%8A%95%E8%B3%87%E9%87%91%E9%A1%8D%E5%A2%9E%E9%80%BE2%E5%80%8D-201000785.html,2023-05-22
30,大金空調 推動技職培力合作計畫,https://tw.stock.yahoo.com/news/%E5%A4%A7%E9%87%91%E7%A9%BA%E8%AA%BF-%E6%8E%A8%E5%8B%95%E6%8A%80%E8%81%B7%E5%9F%B9%E5%8A%9B%E5%90%88%E4%BD%9C%E8%A8%88%E7%95%AB-201000028.html,2023-05-22
31,國發會通過擴建楠梓科學園區,https://tw.stock.yahoo.com/news/%E5%9C%8B%E7%99%BC%E6%9C%83%E9%80%9A%E9%81%8E%E6%93%B4%E5%BB%BA%E6%A5%A0%E6%A2%93%E7%A7%91%E5%AD%B8%E5%9C%92%E5%8D%80-201000544.html,2023-05-22
32,Meta自研AI晶片 晶心科沾光,https://tw.stock.yahoo.com/news/meta%E8%87%AA%E7%A0%94ai%E6%99%B6%E7%89%87-%E6%99%B6%E5%BF%83%E7%A7%91%E6%B2%BE%E5%85%89-201000685.html,2023-05-22
33,凱基銀行總經理曹慧姝請辭 吳可君暫代,https://tw.stock.yahoo.com/news/%E5%87%B1%E5%9F%BA%E9%8A%80%E8%A1%8C%E7%B8%BD%E7%B6%93%E7%90%86%E6%9B%B9%E6%85%A7%E5%A7%9D%E8%AB%8B%E8%BE%AD-%E5%90%B3%E5%8F%AF%E5%90%9B%E6%9A%AB%E4%BB%A3-101911022.html,2023-05-22
34,【公告】台積電限制員工權利新股收回註銷完成實收資本額變更登記事宜,https://tw.stock.yahoo.com/news/%E5%85%AC%E5%91%8A-%E5%8F%B0%E7%A9%8D%E9%9B%BB%E9%99%90%E5%88%B6%E5%93%A1%E5%B7%A5%E6%AC%8A%E5%88%A9%E6%96%B0%E8%82%A1%E6%94%B6%E5%9B%9E%E8%A8%BB%E9%8A%B7%E5%AE%8C%E6%88%90%E5%AF%A6%E6%94%B6%E8%B3%87%E6%9C%AC%E9%A1%8D%E8%AE%8A%E6%9B%B4%E7%99%BB%E8%A8%98%E4%BA%8B%E5%AE%9C-100411719.html,2023-05-22
