,證券代號,證券名稱,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數
498,2534,宏盛            ,"93,000","65,000","28,000",0,0,0,0,0,0,"4,000","4,000",0,"4,000",0,0,0,"32,000"
499,4536,拓凱            ,"182,000","39,000","143,000",0,0,0,0,"120,000","-120,000","8,382","3,000",286,"2,714","6,000",332,"5,668","31,382"
500,3338,泰碩            ,"904,000","863,000","41,000",0,0,0,0,0,0,"-10,000",0,"10,000","-10,000",0,0,0,"31,000"
501,2430,燦坤            ,"46,000","15,000","31,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"31,000"
502,4952,凌通            ,"43,000","12,000","31,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"31,000"
503,020022,元大電動車N     ,0,0,0,0,0,0,0,0,0,"31,000",0,0,0,"645,000","614,000","31,000","31,000"
504,2630,亞航            ,"1,198,000","1,165,100","32,900",0,0,0,0,0,0,"-2,000",0,"2,000","-2,000",0,0,0,"30,900"
505,1325,恆大            ,"42,000","13,000","29,000",0,0,0,0,0,0,"1,000","1,000",0,"1,000",0,0,0,"30,000"
506,2012,春雨            ,"37,000","9,000","28,000",0,0,0,0,0,0,"1,000","1,000",0,"1,000",0,0,0,"29,000"
507,2855,統一證          ,"485,000","456,000","29,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"29,000"
508,1457,宜進            ,"65,000","37,000","28,000",0,0,0,0,0,0,"1,000","1,000",0,"1,000",0,0,0,"29,000"
509,2465,麗臺            ,"48,000","19,000","29,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"29,000"
510,6192,巨路            ,"36,000","2,000","34,000",0,0,0,0,0,0,"-5,000","1,000","6,000","-5,000",0,0,0,"29,000"
511,6698,旭暉應材        ,"60,000","24,000","36,000",0,0,0,0,0,0,"-7,000","5,000","12,000","-7,000",0,0,0,"29,000"
512,2597,潤弘            ,"48,000","21,000","27,000",0,0,0,0,0,0,"2,000","2,000",0,"2,000",0,0,0,"29,000"
513,1604,聲寶            ,"96,000","76,000","20,000",0,0,0,0,0,0,"8,391","27,391","19,000","8,391",0,0,0,"28,391"
514,5525,順天            ,"29,000","1,000","28,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"28,000"
515,2367,燿華            ,"397,000","382,000","15,000",0,0,0,0,0,0,"12,827","12,827",0,"12,827","1,000","1,000",0,"27,827"
516,4108,懷特            ,"46,000","19,000","27,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"27,000"
517,9946,三發地產        ,"28,000","2,000","26,000",0,0,0,0,0,0,"1,000","1,000",0,"1,000",0,0,0,"27,000"
518,1516,川飛            ,"47,000","20,000","27,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"27,000"
519,02001L,富邦蘋果正二N   ,0,0,0,0,0,0,0,0,0,"27,000",0,0,0,"92,000","65,000","27,000","27,000"
520,020034,元大IC設計N     ,0,0,0,0,0,0,0,0,0,"27,000",0,0,0,"93,000","66,000","27,000","27,000"
521,1597,直得            ,"32,073","6,000","26,073",0,0,0,0,0,0,0,0,0,0,0,0,0,"26,073"
522,9136,巨騰-DR         ,"31,000","5,000","26,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"26,000"
523,2062,橋椿            ,"39,000","13,000","26,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"26,000"
524,2106,建大            ,"135,000","113,000","22,000",0,0,0,0,2,-2,"3,922","4,000",78,"3,922",0,0,0,"25,920"
525,1786,科妍            ,"55,000","18,000","37,000",0,0,0,0,0,0,"-11,149","1,000","12,149","-11,149",0,0,0,"25,851"
526,5007,三星            ,"38,000","3,546","34,454",0,0,0,0,0,0,"-9,000","1,000","10,000","-9,000",0,0,0,"25,454"
527,6504,南六            ,"31,000","6,000","25,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"25,000"
528,2509,全坤建          ,"26,000","1,000","25,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"25,000"
529,1455,集盛            ,"52,000","31,000","21,000",0,0,0,0,0,0,"3,389","5,000","1,611","3,389",0,0,0,"24,389"
530,2438,翔耀            ,"73,000","49,000","24,000",0,0,0,0,0,0,0,"2,000","2,000",0,0,0,0,"24,000"
531,5283,禾聯碩          ,"25,000","2,000","23,000",0,0,0,0,0,0,"1,000","1,000",0,"1,000",0,0,0,"24,000"
532,1109,信大            ,"37,000","15,000","22,000",0,0,0,0,0,0,"1,431","1,431",0,"1,431",0,0,0,"23,431"
533,1707,葡萄王          ,"137,000","121,257","15,743",0,0,0,"8,000",0,"8,000",-618,"1,464","3,000","-1,536","2,000","1,082",918,"23,125"
534,9944,新麗            ,"41,000","20,000","21,000",0,0,0,0,0,0,"2,087","2,087",0,"2,087",0,0,0,"23,087"
535,1440,南紡            ,"202,000","181,000","21,000",0,0,0,0,0,0,"2,000","8,000","6,000","2,000",0,0,0,"23,000"
536,1817,凱撒衛          ,"7,000","5,000","2,000",0,0,0,0,0,0,"20,000","20,000",0,"20,000",0,0,0,"22,000"
537,5288,豐祥-KY         ,"39,000","4,000","35,000",0,0,0,0,"11,000","-11,000","-2,000",0,"2,000","-2,000",0,0,0,"22,000"
538,3008,大立光          ,"195,862","173,410","22,452",0,0,0,"4,000","1,432","2,568","-3,555","4,000","7,000","-3,000","3,484","4,039",-555,"21,465"
539,8021,尖點            ,"77,000","41,000","36,000",0,0,0,0,0,0,"-14,661","1,000","15,661","-14,661",0,0,0,"21,339"
540,2524,京城            ,"32,000","23,000","9,000",0,0,0,0,0,0,"12,081","12,081",0,"12,081",0,0,0,"21,081"
541,2348,海悅            ,"56,000","35,000","21,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"21,000"
542,1203,味王            ,"21,000",0,"21,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"21,000"
543,1473,台南            ,"29,000","8,000","21,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"21,000"
544,3501,維熹            ,"55,000","26,000","29,000",0,0,0,0,0,0,"-8,022",0,"8,022","-8,022",0,0,0,"20,978"
545,2247,汎德永業        ,"80,057","57,000","23,057",0,0,0,0,0,0,"-3,000",0,"3,000","-3,000",0,0,0,"20,057"
546,1614,三洋電          ,"30,000","11,000","19,000",0,0,0,0,0,0,"1,000","3,000","2,000","1,000",0,0,0,"20,000"
547,8261,富鼎            ,"113,000","70,000","43,000",0,0,0,0,0,0,"-23,749",251,0,251,"7,000","31,000","-24,000","19,251"
548,6405,悅城            ,"23,000","4,000","19,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"19,000"
549,2022,聚亨            ,"111,000","94,000","17,000",0,0,0,0,0,0,"2,000","2,000",0,"2,000",0,0,0,"19,000"
550,1414,東和            ,"21,000","3,000","18,000",0,0,0,0,0,0,"1,000","1,000",0,"1,000",0,0,0,"19,000"
551,1232,大統益          ,"21,000","4,000","17,000",0,0,0,0,0,0,"2,000","2,000",0,"2,000",0,0,0,"19,000"
552,00763U,期街口道瓊銅    ,"2,000",0,"2,000",0,0,0,0,0,0,"17,000",0,0,0,"35,000","18,000","17,000","19,000"
553,1423,利華            ,"24,000","4,000","20,000",0,0,0,0,0,0,"-1,000","7,000","8,000","-1,000",0,0,0,"19,000"
554,1337,再生-KY         ,"99,000","83,000","16,000",0,0,0,0,0,0,"2,869","6,000","3,131","2,869",0,0,0,"18,869"
555,4958,臻鼎-KY         ,"1,816,460","1,716,509","99,951",0,0,0,0,"8,841","-8,841","-72,778","6,000","95,175","-89,175","24,399","8,002","16,397","18,332"
556,8473,山林水          ,"18,000",0,"18,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"18,000"
557,1342,八貫            ,"135,000","137,000","-2,000",0,0,0,0,0,0,"19,738",0,"1,170","-1,170","21,000",92,"20,908","17,738"
558,3090,日電貿          ,"47,000","23,000","24,000",0,0,0,0,0,0,"-6,347","2,000","8,347","-6,347",0,0,0,"17,653"
559,6579,研揚            ,"404,000","383,100","20,900",0,0,0,0,0,0,"-3,402",191,"3,000","-2,809",0,593,-593,"17,498"
560,2227,裕日車          ,"17,050",0,"17,050",0,0,0,0,0,0,0,0,0,0,0,0,0,"17,050"
561,1522,堤維西          ,"120,000","104,000","16,000",0,0,0,0,0,0,"1,000","1,000",0,"1,000",0,0,0,"17,000"
562,3543,州巧            ,"17,000",0,"17,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"17,000"
563,3708,上緯投控        ,"245,000","47,000","198,000",0,0,0,0,"180,000","-180,000","-1,000",0,0,0,0,"1,000","-1,000","17,000"
564,6168,宏齊            ,"161,000","145,000","16,000",0,0,0,0,0,0,"1,000","2,000","1,000","1,000",0,0,0,"17,000"
565,00662,富邦NASDAQ      ,"11,100","4,200","6,900",0,0,0,0,0,0,"9,846",0,0,0,"18,764","8,918","9,846","16,746"
566,3030,德律            ,"131,000","117,000","14,000",0,0,0,0,0,0,"2,455","4,000","1,545","2,455",0,0,0,"16,455"
567,4720,德淵            ,"55,000","26,000","29,000",0,0,0,0,0,0,"-13,000",0,"13,000","-13,000",0,0,0,"16,000"
568,1459,聯發            ,"16,000",0,"16,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"16,000"
